TexteA,TextB,TextAPT,TextBPT,TFIDF,Jaccard_Distance,Levenshtein_Distance,NGram-Similarity,EXPECTED,RESULT,Score Keywords
Rand Paul overstates missed votes for Ted Cruz but not Marco Rubio,Donald Trump says Marco Rubio has 'worst voting record there is today',rand paul overstates missed votes ted cruz marco rubio ,donald trump marco rubio worst voting record today ,0.14,0.8095238095238095,43,0.0,ST,N,0.0
Warner embelishes PolitiFact finding on Gillespie ad,Gillespie ad falsely tags Warner with PolitiFact's 'Lie of the Year' award,warner embelishes politifact finding gillespie ad ,gillespie ad falsely tags warner politifacts lie year award ,0.26,0.8,43,0.0,ST,N,0.0
Michele Bachmann says IRS ''will have the ability'' to delay or deny health care,Michele Bachmann says the IRS is ''going to be in charge of our health care'',michele bachmann irs ability delay deny health care ,michele bachmann irs going charge health care ,0.51,0.7647058823529411,14,0.08333333333333333,E,,1.0000000000000002
Obama ad wrong about McCain abortion charge,Abortion survivor would have been protected under existing law,obama ad wrong mccain abortion charge ,abortion survivor would protected existing law ,0.09,0.6190476190476191,38,0.0,E,N,1.0
Did Scott Walker flip-flop on how budget shortfalls are measured??,Has PolitiFact rated Scott Walker the nation's ''most factually-challenged'' politician?,scott walker flipflop budget shortfalls measured ,politifact rated scott walker nations factuallychallenged politician ,0.18,0.8181818181818182,52,0.0,N,N,0.0
Bloggers say Warren Buffett recently turned against Obamacare,Rep. Graves wrong about Buffett's health law stance,bloggers warren buffett recently turned obamacare ,rep graves wrong buffetts health law stance ,0.0,0.7142857142857143,31,0.0,ST,N,0.7092972666062739
Rick Santorum says defense spending has fallen since 1958 as percent of federal budget,Rick Santorum charts explosion of federal entitlement spending since 1958,rick santorum defense spending fallen since one thousand nine hundred fiftyeight percent federal budget ,rick santorum charts explosion federal entitlement spending since one thousand nine hundred fiftyeight ,0.59,0.9090909090909091,58,0.0,N,ST,0.3563004293331381
Andrew Gillum says crime dropping in Tallahassee,Ron DeSantis says Tallahassee Mayor Andrew Gillum presided over the highest crime in Florida,andrew gillum crime dropping tallahassee ,ron desantis tallahassee mayor andrew gillum presided highest crime florida ,0.41,0.9,57,0.0,N,,1.0
PAC backing Gary Johnson says Dick Cheney 'supported gay marriage sooner' than Hillary Clinton,Hillary Clinton’s changing position on same-sex marriage,pac backing gary johnson dick cheney supported gay marriage sooner hillary clinton ,hillary clintons changing position samesex marriage ,0.14,0.7272727272727273,59,0.0,ST,N,0.7092972666062739
State Rep. Blazejewski says Rhode Island law made white lies misdemeanors if transmitted on the Internet.,Rep. Christopher Blazejewski says most Dunkin' Donuts tips don't go to employees,state rep blazejewski rhode island law made white lies misdemeanors transmitted internet ,rep christopher blazejewski dunkin donuts tips dont go employees ,0.11,0.8260869565217391,64,0.0,N,N,0.0
Rick Perry says more and more scientists are questioning global warming,Do scientists disagree about global warming?,rick perry scientists questioning global warming ,scientists disagree global warming ,0.45,0.7142857142857143,21,0.0,ST,ST,0.7092972666062738
Health care exchange is government's way of regulating insurers,No free health care for illegal immigrants in the health bill,health care exchange governments way regulating insurers ,free health care illegal immigrants health bill ,0.24,0.6190476190476191,40,0.0,ST,N,0.5031026124151314
Andrew Gillum's Pants on Fire claim on Florida's low unemployment rate,Is Florida's economy propped up by low-wage jobs? Gillum says yes,andrew gillums pants fire claim floridas low unemployment rate ,floridas economy propped lowwage jobs gillum yes ,0.07,0.8571428571428571,49,0.0,E,N,1.0
Did Scott Walker flip-flop on how budget shortfalls are measured??,Scott Walker says he's got himself to thank for his tax bill going down,scott walker flipflop budget shortfalls measured ,scott walker hes got thank tax bill going ,0.17,0.6818181818181818,29,0.0,ST,N,0.0
Brendan Doherty says most of the David Cicilline campaign is funded by big political action committees,U.S. Rep. David Cicilline says Republican opponent Brendan Doherty wants to repeal Obamacare and increase drug prices for seniors,brendan doherty david cicilline campaign funded big political action committees ,us rep david cicilline republican opponent brendan doherty wants repeal obamacare increase drug prices seniors ,0.2,0.9090909090909091,80,0.0,N,N,0.161713780662529
"Obama: Since 2010, U.S. has created more jobs than 'all advanced economies combined'",Obama: U.S. has put more people 'back to work' than all other advanced economies combined,obama since 2010 us created jobs advanced economies combined ,obama us put people back work advanced economies combined ,0.39,0.6521739130434783,21,0.18181818181818182,E,ST,0.3799783615910079
Has Scott Walker changed his view on ethanol mandates?,Has PolitiFact rated Scott Walker the nation's ''most factually-challenged'' politician?,scott walker changed view ethanol mandates ,politifact rated scott walker nations factuallychallenged politician ,0.18,0.7272727272727273,50,0.0,N,N,0.0
Dem recall candidate Tom Barrett says GOP Wisconsin Gov. Scott Walker ''caused'' top job losses in U.S.,Potential recall candidate Kathleen Falk says job losses under Wisconsin Gov. Scott Walker worst in ''decades'',dem recall candidate tom barrett gop wisconsin gov scott walker caused top job losses us ,potential recall candidate kathleen falk job losses wisconsin gov scott walker worst decades ,0.4,0.8260869565217391,46,0.14285714285714285,E*,ST,0.6569729210330907
U.S. Rep. David Cicilline says Providence made full pension contributions six of eight years that he was mayor,"Brendan Doherty says incumbent U.S. Rep. David Cicilline, as Providence mayor, intentionally missed deadlines for providing information to the city's external auditors",us rep david cicilline providence made full pension contributions six eight years mayor ,brendan doherty incumbent us rep david cicilline providence mayor intentionally missed deadlines providing information citys external auditors ,0.26,1.0,87,0.1875,N,N,0.24558396359260984
DNC ad says Mitt Romney flip-flopped on abortion,Mitt Romney evolved significantly in his position on abortion,dnc ad mitt romney flipflopped abortion ,mitt romney evolved significantly position abortion ,0.34,0.8421052631578947,32,0.0,ST,N,0.1707761131901165
Rep. Brett Hulsey says Wisconsin has created fewer jobs every year Scott Walker has been governor,Scott Walker says 2013 job growth in Wisconsin was best since 1990s,rep brett hulsey wisconsin created fewer jobs every year scott walker governor ,scott walker two thousand thirteen job growth wisconsin best since 1990s ,0.15,0.7307692307692307,59,0.0,ST,N,0.2605556710562624
"U.S. Rep. David Cicilline says he voted for tougher laws against child abusers, domestic abusers, when he was a Rhode Island state representative",U.S. Rep. David Cicilline says Republican Brendan Doherty wants to raise Social Security eligibility age without regard for workers in physically demanding jobs,us rep david cicilline voted tougher laws child abusers domestic abusers rhode island state representative ,us rep david cicilline republican brendan doherty wants raise social security eligibility age without regard workers physically demanding jobs ,0.13,0.8695652173913043,90,0.19047619047619047,N,N,0.0
Rick Perry says ''we'' created 1 million new jobs while rest of nation lost over 2 million,Rick Perry says Texas accounted for 48 percent of U.S. jobs created after recession's end,rick perry created one million new jobs rest nation lost two million ,rick perry texas accounted fortyeight percent us jobs created recessions end ,0.19,0.6666666666666666,52,0.07692307692307693,ST,N,0.1757860783933462
Dividends taxes won't crash the market,Dems don't propose tax increases on lower incomes,dividends taxes wont crash market ,dems dont propose tax increases lower incomes ,0.0,0.7368421052631579,33,0.0,N,N,1.0
DNC ad says Mitt Romney flip-flopped on Obama stimulus,DNC ad says Mitt Romney flip-flopped on taxpayer pledge,dnc ad mitt romney flipflopped obama stimulus ,dnc ad mitt romney flipflopped taxpayer pledge ,0.56,0.75,14,0.8571428571428571,N,ST,0.6029748160380572
Jeb Bush: Planned Parenthood isn't involved in women's health,Conservative pundit says Planned Parenthood CEO 'forced to concede' abortions make up 86% of revenue,jeb bush planned parenthood isnt involved womens health ,conservative pundit planned parenthood ceo forced concede abortions make 86 revenue ,0.12,0.7083333333333334,51,0.0,N,N,0.5797386715376658
"U.S. Sen. Sheldon Whitehouse says proposal would keep Social Security, solvent through 2033, alive for 75 additional years",U.S. Senate candidate Barry Hinckley says Sen. Sheldon Whitehouse will have added nearly $8 trillion to the national debt during his first term,us sen sheldon whitehouse proposal would keep social security solvent 2033 alive seventyfive additional years ,us senate candidate barry hinckley sen sheldon whitehouse added nearly 8 trillion national debt first term ,0.16,0.6923076923076923,86,0.0625,N,N,0.20613696606828605
American LeadHERship PAC says Providence has had 100 shootings each year of Angel Taveras' tenure,Gina Raimondo says Providence taxes rose nearly 27 percent under Mayor Angel Taveras,american leadhership pac providence one hundred shootings year angel taveras tenure ,gina raimondo providence taxes rose nearly twentyseven percent mayor angel taveras ,0.16,0.8095238095238095,59,0.0,N,N,0.3188827274930885
"Rick Scott changed the terms of his promise to create 700,000 jobs on top of natural growth, ad says",Rick Scott correct that Florida created 1 million jobs on his watch,rick scott changed terms promise create 700000 jobs top natural growth ad ,rick scott correct florida created one million jobs watch ,0.17,0.75,44,0.0,ST,N,0.5797386715376658
American Crossroads says Bill Nelson sold pasture for big profit,American Crossroads attacks Bill Nelson on agricultural tax break,american crossroads bill nelson sold pasture big profit ,american crossroads attacks bill nelson agricultural tax break ,0.34,0.8,26,0.0,ST,N,1.0000000000000002
Glenn Beck says Allen West is a modern-day Ronin,Patrick Murphy attacks Allen West for military investigation,glenn beck allen west modernday ronin ,patrick murphy attacks allen west military investigation ,0.18,0.7272727272727273,36,0.0,N,N,0.5101490193104813
Pat Toomey says U.S. has highest corporate tax rates in the world,Gary Johnson says U.S. has ''the highest corporate income tax in the world right now”,pat toomey us highest corporate tax rates world ,gary johnson us highest corporate income tax world right ,0.42,0.9047619047619048,24,0.3,E*,,1.0
Rick Scott says Florida's job growth is the third most of any state,Rick Scott correct that Florida created 1 million jobs on his watch,rick scott floridas job growth third state ,rick scott correct florida created one million jobs watch ,0.15,0.85,33,0.0,ST,N,0.5797386715376658
Mitch McConnell among flip-floppers on Senate's 'nuclear option',Barack Obama among flip-floppers on Senate's 'nuclear option',mitch mcconnell among flipfloppers senates nuclear option ,barack obama among flipfloppers senates nuclear option ,0.56,0.8421052631578947,13,1.0,ST,,1.0000000000000002
Gina Raimondo says Providence taxes rose nearly 27 percent under Mayor Angel Taveras,Mayor Angel Taveras says high school graduation rates are up in Providence,gina raimondo providence taxes rose nearly twentyseven percent mayor angel taveras ,mayor angel taveras high school graduation rates providence ,0.27,0.8095238095238095,65,0.1,N,N,0.18443191662261307
GOP state Senate candidate Leah Vukmir says the Legislature passed more than $5 billion in tax increases in 2009,Republican lieutenant governor candidate Rebecca Kleefisch says state lawmakers raised taxes by $5 billion in 2009,gop state senate candidate leah vukmir legislature passed 5 billion tax increases two thousand nine ,republican lieutenant governor candidate rebecca kleefisch state lawmakers raised taxes 5 billion two thousand nine ,0.28,0.9583333333333334,67,0.0,E*,N,0.3032160644503863
Mitt Romney says voters who support Barack Obama are “people who pay no income tax”,Mitt Romney says 47 percent of Americans pay no income tax,mitt romney voters support barack obama people pay income tax ,mitt romney fortyseven percent americans pay income tax ,0.39,0.75,26,0.3333333333333333,ST,,1.0
Mitt Romney says unemployment in Texas weakens Rick Perry's appeal,Mitt Romney paints a dire picture of Texas unemployment on Rick Perry's watch,mitt romney unemployment texas weakens rick perrys appeal ,mitt romney paints dire picture texas unemployment rick perrys watch ,0.51,0.9,32,0.125,ST,ST,0.37997836159100784
Mitt Romney rejected state tax pledge before signing national one,Did Mitt Romney flip-flop on TARP?,mitt romney rejected state tax pledge signing national one ,mitt romney flipflop tarp ,0.21,0.631578947368421,41,0.0,ST,N,0.0
Barack Obama among flip-floppers on Senate's 'nuclear option',Harry Reid among flip-floppers on Senate's 'nuclear option',barack obama among flipfloppers senates nuclear option ,harry reid among flipfloppers senates nuclear option ,0.56,0.7619047619047619,9,1.0,ST,,1.0000000000000002
Did Scott Walker flip-flop on a immigration and a pathway to citizenship?,Has Scott Walker changed his view on ethanol mandates?,scott walker flipflop immigration pathway citizenship ,scott walker changed view ethanol mandates ,0.2,0.7272727272727273,32,0.0,N,N,0.0
"John Boehner says Keystone XL pipeline would create 100,000 jobs",Cory Gardner says Keystone XL pipeline would create thousands of jobs in Colorado,john boehner keystone xl pipeline would create 100000 jobs ,cory gardner keystone xl pipeline would create thousands jobs colorado ,0.47,0.875,25,0.5,E*,ST,0.38087260847594373
Does Mayor Allan Fung's budget for Cranston cover all retirement costs?,American LeadHERship ad ignores the three years Allan Fung didn't raise taxes,mayor allan fungs budget cranston cover retirement costs ,american leadhership ad ignores three years allan fung didnt raise taxes ,0.06,0.7727272727272727,55,0.0,N,N,0.5149138161160748
Hillary Clinton faults Donald Trump for hoping for real estate crash that led to the Great Recession,Congressman repeats Mostly True claim: Donald Trump ‘rooted for the housing crisis’,hillary clinton faults donald trump hoping real estate crash led great recession ,congressman repeats mostly true claim donald trump rooted housing crisis ,0.1,0.9473684210526315,56,0.0,E*,N,0.31799766166594773
Mitch McConnell among flip-floppers on Senate's 'nuclear option',Harry Reid among flip-floppers on Senate's 'nuclear option',mitch mcconnell among flipfloppers senates nuclear option ,harry reid among flipfloppers senates nuclear option ,0.56,0.8947368421052632,13,1.0,ST,,1.0000000000000002
Dividends taxes won't crash the market,Capital gains taxes often don't apply to homeowners,dividends taxes wont crash market ,capital gains taxes often dont apply homeowners ,0.09,0.6818181818181818,31,0.0,ST,N,1.0
Romney says only Obama has cut Medicare,Romney: Obama 'only president' to cut Medicare,romney obama cut medicare ,romney obama president cut medicare ,0.82,0.875,10,0.0,E,E,0.33517574332792605
CNN's Van Jones says Keystone pipeline only creates 35 permanent jobs,"TransCanada CEO says 42,000 Keystone XL pipeline jobs are 'ongoing, enduring'",cnns van jones keystone pipeline creates thirtyfive permanent jobs ,transcanada ceo 42000 keystone xl pipeline jobs ongoing enduring ,0.2,0.5925925925925926,46,0.0,ST,N,0.33609692727625756
"Brendan Doherty says incumbent U.S. Rep. David Cicilline, as Providence mayor, intentionally missed deadlines for providing information to the city's external auditors",Talk show host John DePetro says Providence was a “sanctuary city” under Mayor David Cicilline,brendan doherty incumbent us rep david cicilline providence mayor intentionally missed deadlines providing information citys external auditors ,talk show host john depetro providence sanctuary city mayor david cicilline ,0.17,0.72,104,0.0,N,N,0.0
Barack Obama says deficit fell from 10 percent of GDP to 3 percent on his watch,RNC chair Reince Priebus says Barack Obama has 'the worst record of any president' on debt,barack obama deficit fell ten percent gdp three percent watch ,rnc chair reince priebus barack obama worst record president debt ,0.1,0.7619047619047619,49,0.0,ST,N,0.0
DNC ad says Mitt Romney flip-flopped on Obama stimulus,Did Mitt Romney flip-flop on TARP?,dnc ad mitt romney flipflopped obama stimulus ,mitt romney flipflop tarp ,0.24,0.7222222222222222,23,0.25,N,N,0.0
Did Scott Walker flip-flop on how budget shortfalls are measured??,Columnist Gail Collins blames Gov. Scott Walker for teacher's lost job,scott walker flipflop budget shortfalls measured ,columnist gail collins blames gov scott walker teachers lost job ,0.15,0.7391304347826086,47,0.0,N,N,0.0
"Crisafulli says 257,000 would be 'forced into Medicaid' under expansion","Patients who use LIP are different than Medicaid expansion population, Scott says",crisafulli 257000 would forced medicaid expansion ,patients use lip different medicaid expansion population scott ,0.17,0.7272727272727273,43,0.0,ST,N,1.0000000000000002
Liz Cheney: Iran not meeting nuclear reporting obligations,Stephen Hayes: Iran cheated on the interim nuclear deal,liz cheney iran meeting nuclear reporting obligations ,stephen hayes iran cheated interim nuclear deal ,0.17,0.75,40,0.0,E*,N,0.26055567105626243
Charlie Crist blames Rick Scott for teacher layoffs and class size increases,"Does Rick Scott hold the record on education funding, as Republicans say?",charlie crist blames rick scott teacher layoffs class size increases ,rick scott hold record education funding republicans ,0.14,0.6818181818181818,53,0.0,ST,N,0.12536693798731732
Paul Begala says Mitt Romney said he would pay no taxes under Paul Ryan's tax plan,Barack Obama says a Paul Ryan tax plan would have eliminated almost all of Romney's taxes,paul begala mitt romney would pay taxes paul ryans tax plan ,barack obama paul ryan tax plan would eliminated almost romneys taxes ,0.35,0.8571428571428571,47,0.0,E*,N,0.4494364165239821
Did Scott Walker flip-flop on how budget shortfalls are measured??,"On supporting 2015 right to work legislation, a Scott Walker reversal",scott walker flipflop budget shortfalls measured ,supporting two thousand fifteen right work legislation scott walker reversal ,0.15,0.8181818181818182,57,0.0,N,N,0.0
Ken Block knocks Republican Allan Fung's donations to controversial Democrats,Ken Block says Cranston Mayor Allan Fung increased the garbage tax by as much as $200,ken block knocks republican allan fungs donations controversial democrats ,ken block cranston mayor allan fung increased garbage tax much 200 ,0.18,0.72,44,0.0,N,N,0.07874460345594508
Rep. Leonidas Raptakis: R.I. murderers’ parole wait shortest in Northeast U.S.,R.I. Sen. Leonidas Raptakis says state minimum wage rose 31 percent in two years,rep leonidas raptakis ri murderers parole wait shortest northeast us ,ri sen leonidas raptakis state minimum wage rose thirtyone percent two years ,0.16,0.85,43,0.0,N,N,0.0
Scott Walker says 2013 job growth in Wisconsin was best since 1990s,Scott Walker says Wisconsin third in Midwest in jobs created,scott walker two thousand thirteen job growth wisconsin best since 1990s ,scott walker wisconsin third midwest jobs created ,0.21,0.7391304347826086,42,0.125,ST,N,0.22028815056182974
"Barack Obama ad says Paul Ryan’s Medicare plan could raise costs for Medicare beneficiaries by $6,000 each","Kathleen Sebelius repeats claim that Romney-Ryan Medicare 'voucher' plan would cost seniors $6,400",barack obama ad paul ryans medicare plan could raise costs medicare beneficiaries 6000 ,kathleen sebelius repeats claim romneyryan medicare voucher plan would cost seniors 6400 ,0.13,0.8,65,0.0,ST,N,0.4826796606496646
Marco Rubio says 3 million jobs unfilled due to lack of skills,"Rep. Virginia Foxx warns of mismatch between skills, available jobs",marco rubio three million jobs unfilled due lack skills ,rep virginia foxx warns mismatch skills available jobs ,0.14,0.7083333333333334,45,0.0,E*,N,1.0000000000000002
Democratic Party chair Allison Tant attacks Gov. Rick Scott on teacher pay raises,Charlie Crist says Rick Scott cut K-12 by $1.3 billion in his first year and higher ed by $300 million in his second,democratic party chair allison tant attacks gov rick scott teacher pay raises ,charlie crist rick scott cut k12 13 billion first year higher ed 300 million second ,0.08,0.6538461538461539,68,0.0,N,N,0.7765145304745156
"More Americans killed by guns since 1968 than in all U.S. wars, columnist Nicholas Kristof writes",PBS commentator Mark Shields says more killed by guns since '68 than in all U.S. wars,americans killed guns since one thousand nine hundred sixtyeight us wars columnist nicholas kristof writes ,pbs commentator mark shields killed guns since 68 us wars ,0.26,0.72,82,0.5714285714285714,E,N,0.5797386715376658
Chairwoman of Ocean State Prevention Alliance says many Rhode Island teens don’t think daily marijuana use poses serious risk of harm,Rhode Island Sen. Joshua Miller says state’s total medical spending fell 18 percent from 2007 to 2011,chairwoman ocean state prevention alliance many rhode island teens dont think daily marijuana use poses serious risk harm ,rhode island sen joshua miller states total medical spending fell eighteen percent two thousand seven two thousand eleven ,0.05,0.8260869565217391,99,0.0,N,N,0.0
Alan Grayson says opponent wants to make divorce illegal in stinging new ad,Alan Grayson calls opponent 'Taliban Dan Webster' in stinging new TV ad,alan grayson opponent wants make divorce illegal stinging new ad ,alan grayson calls opponent taliban dan webster stinging new tv ad ,0.4,0.85,29,0.1,ST,ST,0.5031026124151314
Florida GOP says Alex Sink oversaw $27B loss in pension fund,Florida GOP says Alex Sink supported $5.2B debt increase,florida gop alex sink oversaw 27b loss pension fund ,florida gop alex sink supported 52b debt increase ,0.31,0.75,25,0.42857142857142855,N,N,0.3360969272762575
Obama regrets 2006 vote against raising the debt limit,Bachmann said Obama voted against the debt limit when he was a senator,obama regrets two thousand six vote raising debt limit ,bachmann obama voted debt limit senator ,0.26,0.75,41,0.14285714285714285,ST,N,0.5797386715376658
"U.S. Sen. Sheldon Whitehouse says proposal would keep Social Security, solvent through 2033, alive for 75 additional years",U.S. Senate candidate Barry Hinckley says incumbent Sen. Sheldon Whitehouse voted for a $525-billion tax hike on the middle class,us sen sheldon whitehouse proposal would keep social security solvent 2033 alive seventyfive additional years ,us senate candidate barry hinckley incumbent sen sheldon whitehouse voted 525billion tax hike middle class ,0.16,0.7037037037037037,84,0.0625,N,N,0.06804963087832473
Mitt Romney says Barack Obama ''traveled around the globe to apologize for America.”,Ted Cruz says Obama made “a worldwide apology tour”,mitt romney barack obama traveled around globe apologize america ,ted cruz obama made worldwide apology tour ,0.07,0.8095238095238095,38,0.0,E*,N,1.0000000000000002
"Mitt Romney's views on climate change have changed, says DNC",On Mitt Romney and whether humans are causing climate change,mitt romneys views climate change changed dnc ,mitt romney whether humans causing climate change ,0.28,0.8421052631578947,28,0.0,ST,N,0.44943641652398214
"No, it's not correct that 39% of California students are undocumented",Viral image overstates births to undocumented mothers in California,correct 39 california students undocumented ,viral image overstates births undocumented mothers california ,0.21,0.7142857142857143,44,0.0,ST,N,0.26055567105626243
DNC ad says Mitt Romney flip-flopped on taxpayer pledge,DNC ad accuses Mitt Romney of flip-flopping on assault-weapons ban,dnc ad mitt romney flipflopped taxpayer pledge ,dnc ad accuses mitt romney flipflopping assaultweapons ban ,0.37,0.7619047619047619,27,0.0,N,ST,0.6029748160380572
Did Scott Walker flip-flop on how budget shortfalls are measured??,Scott Walker claims credit for $816 in property tax savings over ''where things were headed'',scott walker flipflop budget shortfalls measured ,scott walker claims credit 816 property tax savings things headed ,0.15,0.6296296296296297,40,0.0,N,N,0.8673636849609289
Barack Obama says Mitt Romney's tax plan ''would cut taxes for the folks at the very top'',"Barack Obama says Mitt Romney's tax plan gives millionaires an average tax cut of $250,000",barack obama mitt romneys tax plan would cut taxes folks top ,barack obama mitt romneys tax plan gives millionaires average tax cut 250000 ,0.49,0.6923076923076923,34,0.46153846153846156,ST,ST,0.37997836159100784
Hasner claimed he co-sponsored ''only'' E-Verify bill to pass the Florida Legislature,Sen. J.D. Alexander questions E-Verify costs,hasner claimed cosponsored everify bill pass florida legislature ,sen jd alexander questions everify costs ,0.08,0.6666666666666666,47,0.0,ST,N,1.0
DNC ad says Mitt Romney flip-flopped on abortion,Did Mitt Romney flip-flop on TARP?,dnc ad mitt romney flipflopped abortion ,mitt romney flipflop tarp ,0.26,0.8125,17,0.25,N,N,0.0
Obama: Iran has not advanced nuclear ambitions since U.S. negotiations started,"Tom Cotton says Susan Rice 'conceded' that under nuclear deal, Iran would have 'robust' enrichment",obama iran advanced nuclear ambitions since us negotiations started ,tom cotton susan rice conceded nuclear deal iran would robust enrichment ,0.11,0.7894736842105263,54,0.0,ST,N,0.7765145304745156
Hillary Clinton overstates impact of New START on Russia's nuclear arsenal,Tim Kaine overstates Clinton's record on cutting Russia's nuclear stockpile,hillary clinton overstates impact new start russias nuclear arsenal ,tim kaine overstates clintons record cutting russias nuclear stockpile ,0.2,0.7142857142857143,37,0.125,E*,N,1.0000000000000002
A credit for workers cuts taxes for middle class,Tax cut for 95 percent? The stimulus made it so,credit workers cuts taxes middle class ,tax cut ninetyfive percent stimulus made ,0.0,0.6190476190476191,33,0.0,ST,N,0.3799783615910079
"Rona Ambrose: Supreme Court judges ''think that they can approve a drug into a medicine, without clear clinical scientific evidence, and without safety reviews.'' - FactsCanada",Rona Ambrose: ''Never in the history of Canada has a drug become a medicine because a judge has deemed it so.'' - FactsCanada,rona ambrose supreme court judges think approve drug medicine without clear clinical scientific evidence without safety reviews factscanada ,rona ambrose never history canada drug become medicine judge deemed factscanada ,0.21,0.8333333333333334,84,0.0,E,N,1.0
Barack Obama says Mitt Romney's tax plan ''would cut taxes for the folks at the very top'',Ryan says wealthy taxpayers get most of the deductions in the tax code,barack obama mitt romneys tax plan would cut taxes folks top ,ryan wealthy taxpayers get deductions tax code ,0.06,0.7391304347826086,45,0.0,E*,N,0.17077611319011649
"U. S. Rep. David Cicilline says that when he was mayor of Providence, the city’s internal auditor was not blocked from accessing financial records",Providence crime rates during the David Cicilline administration - revisited,u rep david cicilline mayor providence citys internal auditor blocked accessing financial records ,providence crime rates david cicilline administration revisited ,0.2,0.7142857142857143,69,0.0,N,N,0.0
Pro-Obama super PAC ad says thousands of Chinese workers owe their jobs to Mitt Romney's companies,Super PAC ad says Mitt Romney outsources jobs to India,proobama super pac ad thousands chinese workers owe jobs mitt romneys companies ,super pac ad mitt romney outsources jobs india ,0.35,0.85,52,0.125,ST,N,0.7092972666062739
Mayor Angel Taveras says high school graduation rates are up in Providence,"Mayor Angel Taveras says crime rate, shootings have decreased in Providence",mayor angel taveras high school graduation rates providence ,mayor angel taveras crime rate shootings decreased providence ,0.34,0.9473684210526315,25,0.2222222222222222,N,N,0.0
R.I. Board of Education Chairwoman Eva Marie Mancuso says harder questions are dropped from NECAP re-tests,R.I. Rep. Larry Valencia says a third of students who take SAT for  second time do worse than first time,ri board education chairwoman eva marie mancuso harder questions dropped necap retests ,ri rep larry valencia third students take sat second time worse first time ,0.04,0.7391304347826086,63,0.0,N,N,0.5797386715376658
"MoveOn says Gov. Rick Scott “tried to kick 180,000 people off the voter rolls''",MoveOn says Florida election supervisors refuse to participate in noncitizen voter purge,moveon gov rick scott tried kick 180000 people voter rolls ,moveon florida election supervisors refuse participate noncitizen voter purge ,0.12,0.6521739130434783,51,0.0,ST,N,1.0
"Iran nuclear deal was Hillary Clinton's, and it 'lined the pockets' of Iran with Americans' money?",Paul Ryan claims U.S. purchase of heavy water from Iran is direct subsidy of Iran's nuclear program,iran nuclear deal hillary clintons lined pockets iran americans money ,paul ryan claims us purchase heavy water iran direct subsidy irans nuclear program ,0.14,0.7727272727272727,62,0.0,ST,N,0.6029748160380572
U.S. Chamber says Rep. Tammy Baldwin backed raising taxes $858 billion by voting against extension of Bush-era tax cuts,"Tommy Thompson says Senate foe Tammy Baldwin backs $3,000 tax hike on middle class",us chamber rep tammy baldwin backed raising taxes 858 billion voting extension bushera tax cuts ,tommy thompson senate foe tammy baldwin backs 3000 tax hike middle class ,0.13,0.6785714285714286,69,0.0,ST,N,0.7092972666062738
"Wisconsin Sen. Lena Taylor says Gov. Scott Walker hasn’t created jobs, gives millions to friends and raises taxes on working people",Gov. Scott Walker says he eliminated Wisconsin’s $3.6 billion deficit without raising taxes,wisconsin sen lena taylor gov scott walker hasnt created jobs gives millions friends raises taxes working people ,gov scott walker eliminated wisconsins 36 billion deficit without raising taxes ,0.17,0.7777777777777778,75,0.09090909090909091,ST,N,0.5101490193104813
Does Newt Gingrich support amnesty? Mitt Romney says his plan goes there,Pro-Romney super PAC says New Gingrich supports amnesty for illegal immigrants,newt gingrich support amnesty mitt romney plan goes ,proromney super pac new gingrich supports amnesty illegal immigrants ,0.14,1.0,40,0.0,ST,N,0.3799783615910079
Obama didn't write that,"Not Muslims, but Arab-Americans",obama didnt write ,muslims arabamericans ,0.0,0.5,17,0.0,ST,N,0.5023287782256718
Romney glosses over in-state tuition details,Huckabee wanted scholarship open to all,romney glosses instate tuition details ,huckabee wanted scholarship open ,0.0,0.5714285714285714,33,0.0,ST,N,0.5797386715376658
Republican Bernard Jackvony says Democrat David Cicilline is the fifth most liberal Representative in Congress,U.S. Rep. David Cicilline says Republican opponent Brendan Doherty wants to repeal Obamacare and increase drug prices for seniors,republican bernard jackvony democrat david cicilline fifth liberal representative congress ,us rep david cicilline republican opponent brendan doherty wants repeal obamacare increase drug prices seniors ,0.14,0.8333333333333334,82,0.0,N,N,0.0
Connie Mack says Bill Nelson voted for higher taxes 272 times,Connie Mack said Bill Nelson voted to raise taxes 150 times,connie mack bill nelson voted higher taxes two hundred seventytwo times ,connie mack bill nelson voted raise taxes one hundred fifty times ,0.57,0.8695652173913043,16,0.1111111111111111,ST,ST,0.44943641652398214
Republican U.S. Senate candidate Barry Hinckley says decision to uphold Obama health plan will add trillions of dollars in debt,U.S. Senate candidate Barry Hinckley says 80 percent of Egyptians oppose receiving foreign aid from the United States,republican us senate candidate barry hinckley decision uphold obama health plan add trillions dollars debt ,us senate candidate barry hinckley eighty percent egyptians oppose receiving foreign aid united states ,0.21,0.8181818181818182,68,0.3125,N,N,0.2605556710562624
McCain right on amount of Obama's pork requests,McCain's got Obama over a pork barrel,mccain right amount obamas pork requests ,mccains got obama pork barrel ,0.1,0.7894736842105263,18,0.0,E,N,1.0000000000000002
Scott Walker says 2013 job growth in Wisconsin was best since 1990s,Mary Burke says job growth has gotten worse every year of Scott Walker’s term,scott walker two thousand thirteen job growth wisconsin best since 1990s ,mary burke job growth gotten worse every year scott walkers term ,0.16,0.68,57,0.1,ST,N,0.5797386715376658
